pid|name|address|city|state|zip|lon|lat|chainid|psic|allsics|res_type
113071273|Walgreens|10302  Sunrise Blvd|Puyallup|WA|98374|-122.291458|47.097839|237|59129901|59129901:73840101:|
11307205|Rts Auto Service|10529  Lakeview Ave|Lakewood|WA|98499|-122.494262|47.164602||75390000|75390000:75490000:75380000:|
11308880|Rick Mack Enterprises|2008  112th St|Tacoma|WA|98445|-122.402769|47.154859||||
113167491|Hot Teriyaki|8013  Steilacoom Blvd|Lakewood|WA|98498|-122.543843|47.180055||58120109|58120109:|
113167493|Adam Car Sales|11215  Pacific Hwy|Lakewood|WA|98499|-122.493326|47.155345||55119900|55119900:55219902:|
113167501|Lynden Nails|10102  Bridgeport Way|Lakewood|WA|98499|-122.509047|47.165573||72310104|72310104:|
113167502|Kb Nails|10011  Bridgeport Way|Lakewood|WA|98499|-122.509674|47.166628||72310104|72310104:|
113167504|Vital Fitness Plus LLC|6002  Mount Tacoma Dr|Lakewood|WA|98499|-122.519309|47.169964||79910102|79910102:|
113167506|Tuscany Coffee Company|9528  Bridgeport Way|Lakewood|WA|98499|-122.517893|47.17054||51490901|51490901:54990204:54990201:|
113167512|Genesis Travel Network|9119  Gravelly Lake Dr|Lakewood|WA|98499|-122.516474|47.173018||47240000|47240000:|
113167516|City of Faith Christian Center|11011  Occident St|Lakewood|WA|98499|-122.503174|47.156822||86610121|86610121:55319901:|
113167517|Lakewood Garden III|10914  Addison St|Lakewood|WA|98499|-122.502628|47.157955||72999901|72999901:|
113167518|Motherhood Maternity|5605  Lakewood Towne Center Blvd|Lakewood|WA|98499|-122.5101|47.1652|818|56219901|56219901:|
113167523|Artistic Collision|3818  100th St|Lakewood|WA|98499|-122.488439|47.166898||75320404|75320404:75320401:75320202:|
113167542|Coit Cleaning|10025 S Tacoma Way|Lakewood|WA|98499|-122.483417|47.166179||72170000|72170000:|
113167543|American Techcorp|10715  Pacific Hwy|Lakewood|WA|98499|-122.485772|47.159667||57310000|57310000:|
113167549|Heritage Bank|10318  Gravelly Lake Dr|Lakewood|WA|98499|-122.520835|47.163945||60290000|60290000:60220000:60210000:|
113167550|Panda Express|10417  Gravelly Lake Dr|Lakewood|WA|98499|-122.520419|47.163024|851|58120103|58120103:|
113167551|Tienda Y Carniceria|10515  South Tacoma Way|Lakewood|WA|98499|-122.483608|47.161635||54210000|54210000:54110000:|
113167560|Center for Diagnostic Imaging|7308  Bridgeport Way|Lakewood|WA|98499|-122.519927|47.190644||80110000|80110000:80310000:|
113167568|A T Systems|3016  96th St|Lakewood|WA|98499|-122.474722|47.170079||73810101|73810101:|
1131875|Asphalt Patch Systems|8812  Canyon Rd|Puyallup|WA|98371|-122.359016|47.177048||16110200|16110200:17710301:29510000:52110500:|
113188207|Dock Street Marina|1817  Dock St|Tacoma|WA|98402|-122.434196|47.24557||44930000|44930000:|
113188213|Belay Architecture|708  Broadway |Tacoma|WA|98402|-122.441441|47.257316||87120000|87120000:|
113188214|Taylor-Thomason Insurance Brokers|3401 S 19th St|Tacoma|WA|98405|-122.480438|47.242903||64110000|64110000:63319902:|
113188259|Subway|7317  40th St|Tacoma|WA|98466|-122.535076|47.220969|214|58120313|58120313:|
113188265|The Pilates Body LLC|7326  27th St|Tacoma|WA|98466|-122.534755|47.234831||79910300|79910300:|
113188267|Elite Autobody & Frame|4301 S Union Ave|Tacoma|WA|98409|-122.482986|47.218443||75320401|75320401:75320202:75320404:|
113188280|GameStop|1625 E 72nd St|Tacoma|WA|98404|-122.4065|47.1918|1380|59990000|59990000:50920210:73590703:|
113188303|First In First Out Trucking|16515  14th Avenue Ct|Spanaway|WA|98387|-122.409533|47.106414||42120000|42120000:|
113188309|Anahua Mexican Restaurant|9002  Pacific Ave|Tacoma|WA|98444|-122.434754|47.175016||58120112|58120112:|
113188323|Oakland Alternative High School|3319 S Adams St|Tacoma|WA|98409|-122.485487|47.230503||82110000|82110000:91990401:|
113188328|Corinthian Colleges|2108  Pacific Ave|Tacoma|WA|98402|-122.436442|47.242868||||
113188330|Hwang DO Noodle Restaurant|3615  Steilacoom Blvd|Lakewood|WA|98499|-122.484802|47.176994||80119904|80119904:58120000:|
113188331|Salon Mairead And Day Spa|6008  Mount Tacoma Dr|Lakewood|WA|98499|-122.519316|47.169964||72310000|72310000:79910103:72990200:|
113188386|Silver Camera Work Richard Orth, Llc.|3318 N Proctor St|Tacoma|WA|98407|-122.489005|47.278128||73840000|73840000:59469901:82490000:82440000:|
113188392|T-Mobile|4009 S Meridian |Puyallup|WA|98373|-122.292391|47.153597|1347|48129901|48129901:59990600:|
113188424|Good Samaritan|11102  Sunrise Blvd|Puyallup|WA|98374|-122.281024|47.09697||80620000|80620000:|
113188437|Elite Martial Arts-Puyallup|12623  Meridian |Puyallup|WA|98373|-122.292213|47.141332||79991113|79991113:79991112:|
113355355|Kevin Schoenfelder MD|1515  Martin Luther King Jr Way|Tacoma|WA|98405|-122.450298|47.247059||80119904|80119904:80110202:|
113355361|Pearl Eyecare Center|2505 S 38th St|Tacoma|WA|98409|-122.469891|47.223113||59950000|59950000:80420100:|
113355362|Rebecca Benko MD|521  Martin Luther King Jr Way|Tacoma|WA|98405|-122.452545|47.257637||80119904|80119904:80310000:|
11340285|Riser's Heating Service|517  4th Ave|Puyallup|WA|98371|-122.300067|47.189164||17119900|17119900:76990302:|
11345253|Rite Aid|1850 S Mildred St|Tacoma|WA|98465|-122.526977|47.243167|191|59991300|59991300:59120000:73840101:|
11345266|Rite Aid|1912 N Pearl St|Tacoma|WA|98406|-122.516627|47.266509|191|59991300|59991300:59120000:73840101:|
11346126|Rite Aid|15801  Pacific Ave|Tacoma|WA|98444|-122.432857|47.113614|191|59991300|59991300:59120000:73840101:|
11346132|Rite Aid|3840  Bridgeport Way|Tacoma|WA|98466|-122.537887|47.222804|191|59991300|59991300:59120000:73840101:|
11348761|Rite Aid|12811  Meridian |Puyallup|WA|98373|-122.292105|47.139736|191|59991300|59991300:59120000:73840101:|
11353244|Riva Ridge Apartments|7221 S Wapato St|Tacoma|WA|98409|-122.468255|47.191658||65130000|65130000:72999901:|
11359781|River Road Landscape Supply|6620  River Rd|Puyallup|WA|98371|-122.338499|47.210218||52610205|52610205:42129905:17959902:|
11377350|Rj Automotive|1420 E Pioneer |Puyallup|WA|98372|-122.275047|47.188558||75390000|75390000:75490000:59419902:75380000:|
11386186|Roadhouse Tavern|15518  Meridian |Puyallup|WA|98375|-122.294538|47.115098||58120302|58120302:58130105:|
113935204|National Pipe & Piling Inc|2044  6th Ave|Tacoma|WA|98403|-122.464901|47.255182||59999916|59999916:52510000:|
113956246|Elizabeth G Sanford MD|6002  Westgate Blvd|Tacoma|WA|98406|-122.517127|47.265589||80119904|80119904:|
11399273|Robert B Taub Atty|4002  Tacoma Mall Blvd|Tacoma|WA|98409|-122.467216|47.220391||81119901|81119901:|
11400779|Roberts & Associates|8401 S Park Ave|Tacoma|WA|98444|-122.441605|47.180843||64110000|64110000:|
114034572|Sloan Bobrick PS|7610  40th St|Tacoma|WA|98466|-122.539337|47.2204||81110000|81110000:|
11415884|Terry Robinson Law Firm|16719  110th Ave|Puyallup|WA|98374|-122.282008|47.104152||81119901|81119901:|
11415958|Citygate Church|114  4th Ave|Puyallup|WA|98371|-122.294475|47.193586||86610123|86610123:|
11416987|Robi's Camera Center & Custom Framing|10015  Gravelly Lake Dr|Lakewood|WA|98499|-122.52009|47.165895||76991809|76991809:59469902:59991606:59469901:73840000:76991503:72990607:72219902:|
11417294|Robison Plumbing Service Inc|4009  Po Box |Mcchord Afb|WA|98438|-122.4875|47.1322||17110200|17110200:76990403:57220100:87480302:76990300:|
11418853|Joyce Attorney Robson At Law|201  St Helens Ave|Tacoma|WA|98402|-122.445312|47.262142||81119901|81119901:83220201:|
114262787|Universal Sodexho|1113  A St|Tacoma|WA|98402|-122.437302|47.2533||||
114277219|Thee Barber Shop|903  Pacific Ave|Tacoma|WA|98402|-122.438859|47.255297||72410000|72410000:|
114277232|Poulsbo RV|2727 E D St|Tacoma|WA|98421|-122.425421|47.237113||55610000|55610000:|
114277238|Medac|400 E Pioneer |Puyallup|WA|98372|-122.289286|47.190208||87219901|87219901:|
114277282|John Deere Landscapes|1817  112th St|Tacoma|WA|98445|-122.403806|47.155147||07810201|07810201:|
114277313|H&R Block|5700  100th St|Lakewood|WA|98499|-122.511585|47.166129|29|72910101|72910101:|
114277359|Douglas W Tufts Atty|2518 N Adams St|Tacoma|WA|98406|-122.487459|47.270393||81119901|81119901:|
1143808|Associated Ministries Housing And Shelter|1224 S I St|Tacoma|WA|98405|-122.448842|47.250366||86610000|86610000:|
11443474|Rodda Paint|4621 S Meridian |Puyallup|WA|98373|-122.2927|47.1513||52310201|52310201:57190400:50230500:|
114649716|Pioneer Builders Supply Co Inc|5401 S Burlington Way|Tacoma|WA|98409|-122.486165|47.206674||52119909|52119909:|
114650209|Quality Sewing & Vacuum|3717 S Meridian B |Puyallup|WA|98373|-122.3218|47.15||59450000|59450000:57220208:59999908:17999937:|
114650476|Pacific Northwest Eye Associates|2202 S Cedar St|Tacoma|WA|98405|-122.477099|47.240604||80110000|80110000:|
114651008|Coldwell Banker Realty|12615  Meridian |Puyallup|WA|98373|-122.291898|47.141847|452|65310100|65310100:|
114651073|Acupuncture Family Care|115  23rd Ave|Puyallup|WA|98372|-122.292582|47.170188||80499901|80499901:|
114651105|Vertetis Thomas|1201  Pacific Ave|Tacoma|WA|98402|-122.437538|47.252086||||
114651107|Folawn Colin|1201  Pacific Ave|Tacoma|WA|98402|-122.437538|47.252086||||
114651108|Caldwell Robert|1201  Pacific Ave|Tacoma|WA|98402|-122.437538|47.252086||||
114651127|Girolami Insurance|6314  19th St|Tacoma|WA|98466|-122.52189|47.242482||64110000|64110000:|
11465137|Joseph J Roller Attorney|1001 S 38th St|Tacoma|WA|98418|-122.446686|47.223286||||
114652896|A Storage Center|220  112th St|Tacoma|WA|98445|-122.427899|47.154104||42259900|42259900:42260200:42269901:|
114653096|Desert Sun|10321  Gravelly Lake Dr|Lakewood|WA|98499|-122.520431|47.163934||||
114653226|Rooter Man|17324  87th Avenue Ct|Puyallup|WA|98375|-122.314158|47.098412|1827|17110200|17110200:|
114653241|Creatura J Richard|1201  Pacific Ave|Tacoma|WA|98402|-122.437538|47.252086||||
114653250|Mathews Meridee|6108 S M St|Tacoma|WA|98408|-122.451099|47.201553||81110000|81110000:|
114653259|Orm|1423 E 29th St|Tacoma|WA|98404|-122.411674|47.2378||73610000|73610000:|
114653268|Pediatrix Medical|314  Martin Luther King Jr Way|Tacoma|WA|98405|-122.453943|47.259796||80110516|80110516:80430000:|
114653269|Laboratories Northwest|315  Martin Luther King Jr Way|Tacoma|WA|98405|-122.453035|47.259731||80710000|80710000:|
114653272|Rebecca Kimball Arnp|1901 S Union Ave|Tacoma|WA|98405|-122.479933|47.241547||80490502|80490502:|
114653288|Lighthouse Laundry|5738 N 26th St|Tacoma|WA|98407|-122.513757|47.270953||72190000|72190000:72159902:|
114653320|Mt Rainer FM Group|11212  17th Ave|Tacoma|WA|98445|-122.407652|47.154377||86610122|86610122:|
114653330|Jerry L Walker DDS|4303  Bridgeport Way|Tacoma|WA|98466|-122.536745|47.217819||80210101|80210101:|
114653332|Hill Cheryl|4904  93rd Ave|University Place|WA|98467|-122.561259|47.212293||87210101|87210101:|
114653334|Fred Meyer|6305  Bridgeport Way|University Place|WA|98467|-122.528996|47.200417|729|54210000|54210000:51460000:|
114653338|Anderson James R Cs|5322  60th Avenue Ct|University Place|WA|98467|-122.518254|47.20846||86610109|86610109:|
11470098|Roman Meal Co|2101  South Tacoma Way|Tacoma|WA|98409|-122.464644|47.232472||54119900|54119900:|
114727904|Bucky's Muffler-Parkland|13220  Pacific Ave|Tacoma|WA|98444|-122.435021|47.136684||75390402|75390402:75339902:|
114727906|Bargain World|15615  Pacific Ave|Tacoma|WA|98444|-122.433451|47.115338||59320000|59320000:|
114728|A Avenue Of Recovery|11006  Pacific Ave|Tacoma|WA|98444|-122.435968|47.157183||80930101|80930101:80690101:|
114731821|James S Griffith MD|2201 S 19th St|Tacoma|WA|98405|-122.466138|47.243118||80119904|80119904:80310000:|
114732052|University Place School District 83|3725  Grandview Dr|Tacoma|WA|98466|-122.557096|47.222177||82210100|82210100:|
11477517|New York Life Insurance Company|1102  Broadway |Tacoma|WA|98402|-122.440433|47.252881|159|64110000|64110000:|
11481235|Ron's Automotive|3224 E Portland Ave|Tacoma|WA|98404|-122.409731|47.233933||75390000|75390000:75490000:75380000:|
11485227|Roofers Local 153|3049 S 36th St|Tacoma|WA|98409|-122.475951|47.226484||86319900|86319900:|
11487583|Roopair Specialties|5205 S Washington St|Tacoma|WA|98409|-122.484853|47.209595||75390000|75390000:75380000:|
11488487|Roseville Property Mgt LLC|1104  Yakima Ave|Tacoma|WA|98405|-122.4478|47.252231||72999901|72999901:|
11496889|Will Attorney Hatch At Law|417 S G St|Tacoma|WA|98405|-122.446913|47.259163||81119901|81119901:|
114993066|Teriyaki & BBQ House|8012 S Tacoma Way|Lakewood|WA|98499|-122.485175|47.183889||58120801|58120801:58120109:|
115041073|Electronic Spedometer Service|7819  130th Street Ct|Puyallup|WA|98373|-122.324189|47.13823||75390300|75390300:|
115041106|United Auto Credit Corporation|4301 S Pine St|Tacoma|WA|98409|-122.470992|47.21776||61410100|61410100:|
115041145|Atkins Machine Llc|10526  Steele St|Lakewood|WA|98499|-122.468207|47.160935||75399904|75399904:|
11504351|Rosen Supply Co Inc|2920  Chandler St|Tacoma|WA|98409|-122.45624|47.233337||50740300|50740300:34320000:50740100:|
1150473|Assorted Tikes Inc|7503  Portland Ave|Tacoma|WA|98404|-122.407187|47.18892||82119904|82119904:|
11513963|Gary W Ross Atty|7403  Lakewood Dr|Lakewood|WA|98499|-122.508441|47.19002||81119901|81119901:|
11516026|Ross|5820  Lakewood Towne Center Blvd|Lakewood|WA|98499|-122.518739|47.164518|1973|56510000|56510000:53119901:|
11532435|Rowan Mj|5340 N Bristol St|Tacoma|WA|98407|-122.522116|47.300647||||
11535336|Pets R Precious|10418  Canyon Rd|Puyallup|WA|98373|-122.357539|47.160737||07529901|07529901:|
11539085|Royal Box Chinese Restaurant|11101  Pacific Hwy|Lakewood|WA|98499|-122.491768|47.156239||58120500|58120500:|
11554974|Rrich In Smoke|12607  Pacific Ave|Tacoma|WA|98444|-122.434318|47.14247||59930000|59930000:|
11556469|Rsm Mcgladrey Inc|1145  Broadway |Tacoma|WA|98402|-122.439382|47.25166||87210101|87210101:87119903:|
11568534|Roger L Rue Architect|3010  Mccarver St|Tacoma|WA|98403|-122.465489|47.274955||87120101|87120101:|
115738|A B C Children's Center|8545  27th St|Tacoma|WA|98466|-122.552688|47.235603||83510000|83510000:82119904:|
1157847|AT&T|2505 S 38th St|Tacoma|WA|98409|-122.469891|47.223113|566|48130100|48130100:|
11598953|Ryan Resources|923 E 26th St|Tacoma|WA|98421|-122.42087|47.239832||24110000|24110000:|
11601883|Budget Truck Rental|12413  Meridian |Puyallup|WA|98373|-122.290776|47.143594|1338|75139902|75139902:|
11608811|S & E Electric Inc|3904  Center St|Tacoma|WA|98409|-122.488728|47.231109||72999906|72999906:17319903:15220201:15210101:|
11613914|S & N Concrete|4336 E G St|Tacoma|WA|98404|-122.4224|47.217133||17710000|17710000:16110202:|
11619675|S & S Tire Service|13201  Pacific Ave|Tacoma|WA|98444|-122.434148|47.137092||55319901|55319901:75390402:75340000:75490000:|
11632783|S P Smoke Shop|8203  South Tacoma Way|Lakewood|WA|98499|-122.483576|47.182406||59939904|59939904:|
11634172|S S Landscaping|10215  Portland Ave|Tacoma|WA|98445|-122.40387|47.16394||07829903|07829903:07810201:|
11634274|S S Quickstop Grocery|603  112th St|Tacoma|WA|98444|-122.440031|47.155678||54110200|54110200:|
11637191|Saar's Marketplace|1015 N Pearl St|Tacoma|WA|98406|-122.514451|47.259192||54110000|54110000:|
11644833|Sacred Heart Catholic Church|4520  Mckinley Ave|Tacoma|WA|98404|-122.421089|47.216463||86610106|86610106:|
11652348|Safe Store Self Storage|3723  112th St|Lakewood|WA|98499|-122.48618|47.15661||42259903|42259903:42260200:|
11655279|Safelite Auto Glass|6426 S Tacoma Way|Tacoma|WA|98409|-122.483911|47.198907|195|75360101|75360101:55310100:52310100:|
11658816|U.S. Bank|3842  Bridgeport Way|Tacoma|WA|98466|-122.538819|47.2214|541|60210000|60210000:60220000:|
11676353|Saint Josephs|608 S 34th St|Tacoma|WA|98418|-122.439757|47.229279||||
11682837|Saint Paul Baptist Church|2225 S 19th St|Tacoma|WA|98405|-122.46679|47.243273||86610103|86610103:|
11688163|Sakura Japanese Steak House|3630 S Cedar St|Tacoma|WA|98409|-122.477085|47.224747||58120802|58120802:|
11690909|Pacific Counseling Services|1919  70th Ave|Tacoma|WA|98466|-122.529568|47.241753||83220600|83220600:83220500:|
11694994|Sales Corner Grocery|10406  Sales Rd|Lakewood|WA|98499|-122.467947|47.162963||54110000|54110000:|
11695530|Sales Road Storage|2317  102nd St|Tacoma|WA|98444|-122.46855|47.165397||42259900|42259900:42260200:75210201:42269901:|
11699475|Sally Beauty Supply|4423 S Meridian |Puyallup|WA|98373|-122.291615|47.148884|196|59991301|59991301:50870100:|
11701156|Sally Beauty Supply|3202 S 23rd St|Tacoma|WA|98405|-122.478213|47.237694|196|59991301|59991301:50870100:|
11705027|Salon Chez Nous|522  Forrest Park Dr|Tacoma|WA|98466|-122.510518|47.230297||72310000|72310000:|
11709181|Salon Verve|4040 S Tyler St|Tacoma|WA|98409|-122.494056|47.220401||72310000|72310000:|
11709390|Yes Nails|7801  Bridgeport Way|Lakewood|WA|98499|-122.517836|47.186119||72310104|72310104:|
11723021|Dany Best Nails|2913 S 38th St|Tacoma|WA|98409|-122.473957|47.222611||72310104|72310104:|
11752016|Sandco Properties|5046 S M St|Tacoma|WA|98408|-122.451481|47.210157||65319900|65319900:65310204:|
11758487|Sandpiper Gallery|2221 N 30th St|Tacoma|WA|98403|-122.465748|47.274899||84120100|84120100:|
11763498|Sandy's Budget Hair Care|3824  112th St|Tacoma|WA|98446|-122.377079|47.154399||72310000|72310000:|
11763603|Sandy's Concrete|3302 N Proctor St|Tacoma|WA|98407|-122.489388|47.277971||16110202|16110202:17710000:|
11781773|Kim's Wok & Teriyaki|2620  Bridgeport Way|Tacoma|WA|98466|-122.53725|47.235977||58120103|58120103:|
11781776|Sapporo Teriyaki|3850 S Meridian |Puyallup|WA|98373|-122.293441|47.155193||58120109|58120109:|
11786126|Sarco Supply|3902 S 56th St|Tacoma|WA|98409|-122.489547|47.205942||59999908|59999908:50870304:|
11788050|Sarku Japan|4502 S Steele St|Tacoma|WA|98409|-122.468145|47.218244||58120109|58120109:|
11802764|Savage Wholesale Building Materials|1001 E 25th St|Tacoma|WA|98421|-122.419881|47.241104||52110200|52110200:36990604:|
11813067|Saybr Contractors|3852 S 66th St|Tacoma|WA|98409|-122.488072|47.196847||15420000|15420000:15210000:|
11815894|Sbarro|3500 S Meridian |Puyallup|WA|98373|-122.296091|47.157829|524|58120108|58120108:|
11835901|Stephen N Schilt MD|7609  6th Ave|Tacoma|WA|98406|-122.539312|47.255096||80119904|80119904:80310000:|
11841545|Margaret Ann Schmidt MA|8404  27th St|Tacoma|WA|98466|-122.548985|47.234979||83220500|83220500:|
1186374|Atlas Trucking Inc|922 E 11th St|Tacoma|WA|98421|-122.420549|47.256249||42120000|42120000:|
11869968|Schuckmans|6330  111th St|Lakewood|WA|98499|-122.522723|47.15639||||
11870159|Schuck's Auto Supply|2901  6th Ave|Tacoma|WA|98406|-122.474052|47.255549|1346|55310103|55310103:55310104:59999905:50130100:76940202:75380100:|
11870235|O'Reilly Auto Parts|3026 S 38th St|Tacoma|WA|98409|-122.476076|47.222096|1346|55310103|55310103:55310104:59999905:|
11870239|O'Reilly Auto Parts|8404  Steilacoom Blvd|Lakewood|WA|98498|-122.549434|47.179573|1346|55310103|55310103:55310104:59999905:|
11870240|O'Reilly Auto Parts|10901  Pacific Hwy|Lakewood|WA|98499|-122.487618|47.158156|1346|55310103|55310103:55310104:59999905:|
11870255|O'Reilly Auto Parts|12310  Meridian |Puyallup|WA|98373|-122.293159|47.143893|1346|55310103|55310103:55310104:59999905:|
11875228|Schuur Brothers Construction|802  39th Ave|Puyallup|WA|98373|-122.302084|47.154488||15210000|15210000:15420000:|
11878645|R Stuart Schwartz DDS MS|1901 S Union Ave|Tacoma|WA|98405|-122.479933|47.241547||80210101|80210101:|
